priors_count,two_year_recid,gender_factor,age_factor,race_factor,crime_factor,target,Predictions,,,,,,,,,
9,1,1,2,2,2,1,2,,,,,,,,,
2,1,1,1,4,2,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
6,0,1,2,2,1,1,2,,,,,,,,,
1,0,1,2,1,1,1,1,,,,,,,,,
1,1,1,2,2,2,2,1,,,,,,,,,
3,1,2,1,4,2,1,1,,,,,,,,,
11,0,1,1,2,1,1,2,,,,,,,,,
3,1,1,1,4,1,2,1,,,,,,,,,
5,0,1,1,4,2,1,2,,,,,,,,,
0,1,1,3,4,1,2,2,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
0,1,1,3,1,1,2,2,,,,,,,,,
1,1,1,2,1,1,1,1,,,,,,,,,
1,0,1,3,2,1,1,1,,,,,,,,,
4,0,1,2,1,1,1,1,,,,,,,,,
0,0,1,2,6,1,1,1,,,,,,,,,
3,1,1,1,2,1,1,1,,,,,,,,,
6,1,1,2,1,1,2,2,,,,,,,,,
21,1,1,1,2,2,2,2,,,,,,,,,
2,1,1,3,2,1,2,1,,,,,,,,,
1,1,2,1,1,2,1,1,,,,,,,,,
3,1,1,1,1,2,1,1,,,,,,,,,
9,0,1,1,2,1,2,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
5,0,1,1,6,1,1,2,,,,,,,,,
1,1,1,1,2,1,2,1,,,,,,,,,
13,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,3,6,1,1,2,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
1,1,1,2,1,1,1,1,,,,,,,,,
3,1,1,2,1,1,1,1,,,,,,,,,
0,0,1,3,1,2,2,2,,,,,,,,,
0,1,1,1,2,1,2,1,,,,,,,,,
3,1,1,2,1,2,1,1,,,,,,,,,
1,1,1,1,2,2,2,1,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
1,0,1,2,1,1,1,1,,,,,,,,,
1,1,1,1,2,1,1,1,,,,,,,,,
2,0,1,2,2,2,1,1,,,,,,,,,
3,0,1,1,5,2,2,1,,,,,,,,,
4,0,1,1,1,1,2,1,,,,,,,,,
4,1,1,1,1,2,1,1,,,,,,,,,
11,1,1,1,2,1,2,2,,,,,,,,,
1,0,1,3,1,1,2,2,,,,,,,,,
1,0,1,2,2,1,1,1,,,,,,,,,
0,0,2,1,1,2,2,1,,,,,,,,,
13,0,1,1,2,1,2,2,,,,,,,,,
3,1,1,1,2,2,1,1,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
1,0,2,1,1,1,1,1,,,,,,,,,
0,1,1,1,6,1,2,1,,,,,,,,,
2,0,1,2,1,1,1,1,,,,,,,,,
9,1,1,1,2,1,2,2,,,,,,,,,
6,0,1,1,1,1,1,2,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
4,0,1,1,1,2,1,1,,,,,,,,,
2,0,1,2,6,1,1,1,,,,,,,,,
1,0,2,2,2,1,1,1,,,,,,,,,
0,1,1,3,2,1,1,1,,,,,,,,,
0,1,1,3,1,1,2,2,,,,,,,,,
1,0,1,3,1,2,2,2,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
4,0,2,2,2,1,1,1,,,,,,,,,
6,1,1,1,6,1,1,2,,,,,,,,,
3,1,1,1,4,1,1,1,,,,,,,,,
0,0,2,2,1,2,1,1,,,,,,,,,
11,1,1,1,1,2,2,2,,,,,,,,,
1,1,1,1,2,1,2,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
0,1,1,3,2,1,1,1,,,,,,,,,
5,1,1,2,1,1,1,2,,,,,,,,,
2,0,1,1,2,1,2,1,,,,,,,,,
0,0,2,1,1,2,1,1,,,,,,,,,
2,0,1,1,1,1,1,1,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
7,0,1,1,1,2,2,2,,,,,,,,,
0,1,1,1,2,2,1,1,,,,,,,,,
1,1,2,1,4,1,1,1,,,,,,,,,
1,0,1,3,2,1,2,1,,,,,,,,,
9,1,2,1,1,1,2,2,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
2,1,2,3,2,1,2,1,,,,,,,,,
4,0,2,2,1,1,2,1,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
18,0,1,2,4,1,1,2,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
19,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,2,1,2,1,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
3,1,2,1,2,1,1,1,,,,,,,,,
0,0,2,1,2,1,2,1,,,,,,,,,
8,1,1,3,1,1,2,2,,,,,,,,,
0,0,1,2,2,2,1,1,,,,,,,,,
0,0,1,2,4,2,1,1,,,,,,,,,
4,1,1,2,2,1,1,1,,,,,,,,,
0,0,1,2,4,1,1,1,,,,,,,,,
23,1,1,1,2,1,2,2,,,,,,,,,
1,1,2,1,1,2,2,1,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
0,0,2,1,1,2,1,1,,,,,,,,,
1,0,1,2,2,1,1,1,,,,,,,,,
2,0,1,1,4,1,1,1,,,,,,,,,
9,1,1,1,2,1,2,2,,,,,,,,,
1,1,1,3,1,1,1,2,,,,,,,,,
10,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
2,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,3,1,2,1,2,,,,,,,,,
5,1,1,1,1,1,2,2,,,,,,,,,
16,0,1,2,2,1,2,2,,,,,,,,,
0,0,1,1,4,2,1,1,,,,,,,,,
6,0,1,1,1,1,1,2,,,,,,,,,
10,1,1,1,2,1,2,2,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,
2,0,1,1,2,1,2,1,,,,,,,,,
0,1,1,3,4,1,2,2,,,,,,,,,
0,0,2,2,1,1,1,1,,,,,,,,,
18,1,1,1,2,1,2,2,,,,,,,,,
2,1,2,1,1,1,2,1,,,,,,,,,
6,1,1,1,2,2,2,2,,,,,,,,,
2,1,1,1,2,1,2,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
1,0,1,1,4,1,1,1,,,,,,,,,
2,1,1,3,2,2,2,1,,,,,,,,,
0,1,1,3,4,1,1,2,,,,,,,,,
3,1,2,3,2,1,2,1,,,,,,,,,
9,0,1,1,1,1,2,2,,,,,,,,,
1,0,2,3,2,1,2,1,,,,,,,,,
2,0,2,3,2,1,2,1,,,,,,,,,
4,1,2,3,2,1,2,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,3,4,1,1,2,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
3,1,1,2,1,1,2,1,,,,,,,,,
5,0,1,1,1,1,1,2,,,,,,,,,
1,1,1,1,2,1,2,1,,,,,,,,,
8,1,1,3,2,1,2,1,,,,,,,,,
0,0,1,1,2,1,2,1,,,,,,,,,
0,0,2,2,1,1,1,1,,,,,,,,,
4,1,2,3,2,1,2,1,,,,,,,,,
16,0,2,1,2,1,2,2,,,,,,,,,
16,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
1,0,1,1,4,2,1,1,,,,,,,,,
1,0,1,1,6,1,1,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
2,1,1,3,4,2,2,2,,,,,,,,,
7,1,1,2,2,1,2,2,,,,,,,,,
0,0,1,1,2,1,2,1,,,,,,,,,
0,1,2,1,2,1,2,1,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
8,1,1,1,2,1,1,2,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
5,1,1,2,6,2,1,2,,,,,,,,,
2,1,1,1,2,1,2,1,,,,,,,,,
0,0,1,2,1,1,1,1,,,,,,,,,
8,0,1,1,2,1,2,2,,,,,,,,,
5,1,1,1,2,2,2,2,,,,,,,,,
4,0,1,2,1,2,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
3,0,1,2,1,1,1,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
1,0,1,2,2,1,1,1,,,,,,,,,
5,1,1,1,1,1,2,2,,,,,,,,,
2,1,1,3,2,2,2,1,,,,,,,,,
7,0,1,2,1,1,1,2,,,,,,,,,
1,1,1,1,2,2,2,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
7,0,1,1,2,1,1,2,,,,,,,,,
9,0,2,1,2,1,2,2,,,,,,,,,
11,1,1,3,1,1,2,2,,,,,,,,,
8,0,1,1,1,1,1,2,,,,,,,,,
0,1,1,1,6,1,2,1,,,,,,,,,
12,1,1,1,2,2,2,2,,,,,,,,,
1,0,1,1,2,2,1,1,,,,,,,,,
1,0,1,2,4,2,1,1,,,,,,,,,
3,0,2,1,2,1,1,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
3,1,1,1,1,1,2,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
2,0,2,1,2,2,1,1,,,,,,,,,
0,0,2,3,2,2,2,1,,,,,,,,,
0,1,1,1,1,1,1,1,,,,,,,,,
3,1,1,2,2,2,1,1,,,,,,,,,
7,1,1,1,2,1,2,2,,,,,,,,,
2,0,1,1,2,2,2,1,,,,,,,,,
0,0,2,1,4,1,1,1,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
3,0,2,2,2,2,1,1,,,,,,,,,
2,0,1,1,2,2,2,1,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
3,1,1,1,1,2,2,1,,,,,,,,,
2,1,1,3,2,1,2,1,,,,,,,,,
7,0,1,3,2,2,2,1,,,,,,,,,
3,0,1,1,1,1,1,1,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,3,2,1,2,1,,,,,,,,,
13,0,1,2,2,1,1,2,,,,,,,,,
2,0,1,1,2,1,2,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
14,0,1,1,2,1,2,2,,,,,,,,,
6,1,1,1,2,1,2,2,,,,,,,,,
9,1,1,1,1,2,1,2,,,,,,,,,
4,0,1,2,2,1,1,1,,,,,,,,,
13,1,1,2,2,1,2,2,,,,,,,,,
1,1,1,1,1,2,1,1,,,,,,,,,
0,1,2,2,1,2,1,1,,,,,,,,,
0,0,1,1,4,1,1,1,,,,,,,,,
19,1,1,1,2,1,2,2,,,,,,,,,
2,0,1,1,1,1,1,1,,,,,,,,,
20,1,1,1,2,1,2,2,,,,,,,,,
0,1,2,1,1,1,1,1,,,,,,,,,
6,1,1,1,2,1,1,2,,,,,,,,,
2,1,1,1,1,1,1,1,,,,,,,,,
0,0,1,3,4,2,1,2,,,,,,,,,
6,1,1,1,2,1,2,2,,,,,,,,,
3,0,2,1,2,1,1,1,,,,,,,,,
2,0,1,1,6,2,1,1,,,,,,,,,
0,1,1,3,2,2,1,1,,,,,,,,,
0,1,2,3,1,1,2,2,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
3,1,1,3,2,2,2,1,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
1,1,1,3,6,1,1,2,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
3,1,2,1,2,1,1,1,,,,,,,,,
0,0,1,1,6,2,1,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
0,0,1,3,2,2,2,1,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
0,0,1,2,4,1,1,1,,,,,,,,,
9,0,1,1,4,1,2,2,,,,,,,,,
0,0,1,3,1,1,1,2,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
3,1,1,3,1,2,2,2,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
0,0,2,2,1,2,1,1,,,,,,,,,
5,0,2,2,1,2,1,2,,,,,,,,,
0,0,1,2,3,2,1,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
7,0,1,1,2,1,1,2,,,,,,,,,
15,1,1,1,2,1,2,2,,,,,,,,,
3,0,1,1,2,1,1,1,,,,,,,,,
1,1,1,3,2,1,1,1,,,,,,,,,
1,1,1,1,2,2,2,1,,,,,,,,,
12,1,1,1,2,1,2,2,,,,,,,,,
0,0,1,2,1,1,1,1,,,,,,,,,
0,0,1,3,1,1,2,2,,,,,,,,,
9,1,1,1,2,1,2,2,,,,,,,,,
0,0,2,1,2,2,1,1,,,,,,,,,
3,1,2,1,1,1,2,1,,,,,,,,,
1,1,2,2,1,2,1,1,,,,,,,,,
0,1,2,3,2,2,2,1,,,,,,,,,
13,1,1,1,2,2,2,2,,,,,,,,,
13,1,1,2,1,2,1,2,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
0,0,2,2,2,1,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
1,0,1,1,4,1,1,1,,,,,,,,,
2,0,1,1,1,2,1,1,,,,,,,,,
0,0,1,1,6,2,1,1,,,,,,,,,
1,0,1,1,1,1,1,1,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
12,1,1,1,2,1,1,2,,,,,,,,,
1,0,1,1,1,1,1,1,,,,,,,,,
20,1,1,2,1,1,2,2,,,,,,,,,
0,0,1,2,1,1,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
37,1,1,1,2,2,2,2,,,,,,,,,
3,0,1,1,1,1,2,1,,,,,,,,,
8,1,1,1,2,1,2,2,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
0,0,2,1,1,2,1,1,,,,,,,,,
0,1,2,3,1,1,2,2,,,,,,,,,
3,1,1,3,2,1,2,1,,,,,,,,,
0,1,1,3,4,1,2,2,,,,,,,,,
2,1,1,3,2,1,2,1,,,,,,,,,
1,0,1,1,2,2,2,1,,,,,,,,,
12,0,1,1,1,1,1,2,,,,,,,,,
2,1,1,3,2,1,2,1,,,,,,,,,
1,0,1,1,1,2,1,1,,,,,,,,,
3,1,1,1,2,2,1,1,,,,,,,,,
0,0,1,2,1,1,1,1,,,,,,,,,
2,0,2,3,2,1,1,1,,,,,,,,,
11,1,1,1,2,2,2,2,,,,,,,,,
2,1,1,1,1,2,1,1,,,,,,,,,
1,1,1,2,2,2,1,1,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
11,1,1,1,2,2,2,2,,,,,,,,,
1,1,1,2,2,1,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
0,0,2,2,2,1,1,1,,,,,,,,,
10,1,1,1,1,1,2,2,,,,,,,,,
3,0,1,1,2,1,2,1,,,,,,,,,
1,0,1,1,4,2,1,1,,,,,,,,,
6,0,1,1,1,1,1,2,,,,,,,,,
0,1,2,1,2,2,1,1,,,,,,,,,
20,1,1,1,2,1,2,2,,,,,,,,,
15,1,1,1,2,1,2,2,,,,,,,,,
0,0,2,1,1,2,1,1,,,,,,,,,
10,1,1,1,2,1,2,2,,,,,,,,,
4,1,1,1,2,1,2,1,,,,,,,,,
15,0,1,1,2,1,2,2,,,,,,,,,
2,1,1,1,2,2,2,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
12,1,1,1,1,2,2,2,,,,,,,,,
2,1,1,2,2,1,1,1,,,,,,,,,
0,1,1,3,2,2,1,1,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
5,0,2,1,2,2,2,2,,,,,,,,,
3,1,1,1,1,1,2,1,,,,,,,,,
8,1,1,1,2,1,2,2,,,,,,,,,
12,1,1,1,2,1,2,2,,,,,,,,,
1,0,1,1,1,1,1,1,,,,,,,,,
0,1,1,1,2,1,1,1,,,,,,,,,
0,1,1,2,2,2,1,1,,,,,,,,,
6,1,1,1,2,1,2,2,,,,,,,,,
5,1,1,1,2,1,2,2,,,,,,,,,
1,1,1,2,1,2,1,1,,,,,,,,,
6,1,1,1,2,1,2,2,,,,,,,,,
0,1,1,1,1,2,2,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
0,0,1,2,1,1,1,1,,,,,,,,,
1,0,1,1,1,1,2,1,,,,,,,,,
1,1,1,1,2,2,1,1,,,,,,,,,
4,1,1,3,2,1,2,1,,,,,,,,,
7,0,1,1,2,1,1,2,,,,,,,,,
0,0,1,3,2,1,2,1,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,1,4,2,1,1,,,,,,,,,
14,0,2,1,4,1,2,2,,,,,,,,,
3,0,1,1,2,1,2,1,,,,,,,,,
0,1,1,1,2,2,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
11,1,1,1,2,1,2,2,,,,,,,,,
3,0,1,1,1,2,1,1,,,,,,,,,
1,1,1,1,2,1,1,1,,,,,,,,,
2,1,1,3,1,1,2,2,,,,,,,,,
0,0,2,2,1,1,2,1,,,,,,,,,
4,1,1,3,1,1,2,2,,,,,,,,,
1,1,1,2,1,1,1,1,,,,,,,,,
15,1,1,2,2,2,2,2,,,,,,,,,
1,1,1,1,2,1,2,1,,,,,,,,,
0,1,2,2,1,1,1,1,,,,,,,,,
0,0,1,1,6,2,1,1,,,,,,,,,
3,1,1,1,1,1,1,1,,,,,,,,,
1,0,1,1,1,1,2,1,,,,,,,,,
0,1,1,1,2,1,2,1,,,,,,,,,
2,0,1,1,4,2,1,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
2,0,2,1,2,1,1,1,,,,,,,,,
3,1,1,1,2,2,2,1,,,,,,,,,
2,0,2,3,4,2,1,2,,,,,,,,,
1,1,1,3,4,1,1,2,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
12,1,1,1,2,1,2,2,,,,,,,,,
7,1,1,1,6,1,2,2,,,,,,,,,
6,0,1,1,2,1,1,2,,,,,,,,,
1,0,1,3,1,2,2,2,,,,,,,,,
2,0,1,1,6,1,1,1,,,,,,,,,
4,1,2,1,6,1,2,1,,,,,,,,,
0,0,1,3,6,2,1,2,,,,,,,,,
2,1,2,1,1,1,2,1,,,,,,,,,
0,1,1,1,2,2,2,1,,,,,,,,,
0,1,2,3,1,1,1,2,,,,,,,,,
1,0,1,1,2,2,2,1,,,,,,,,,
6,0,1,1,2,1,2,2,,,,,,,,,
2,1,1,3,2,1,2,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
0,1,2,3,4,2,2,2,,,,,,,,,
0,0,1,3,2,2,2,1,,,,,,,,,
1,0,2,2,2,1,1,1,,,,,,,,,
5,1,2,1,2,2,2,2,,,,,,,,,
0,1,1,3,1,1,2,2,,,,,,,,,
4,0,1,1,1,1,1,1,,,,,,,,,
0,0,2,2,1,1,1,1,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
6,0,2,1,2,1,1,2,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
0,0,2,1,2,2,1,1,,,,,,,,,
0,0,2,3,2,1,1,1,,,,,,,,,
2,0,1,1,2,1,1,1,,,,,,,,,
0,0,1,3,1,2,1,2,,,,,,,,,
1,1,1,1,2,1,1,1,,,,,,,,,
5,1,1,1,2,1,2,2,,,,,,,,,
9,1,1,2,1,1,1,2,,,,,,,,,
0,0,1,1,2,1,1,1,,,,,,,,,
19,1,1,2,2,1,2,2,,,,,,,,,
3,1,1,1,4,1,2,1,,,,,,,,,
0,0,2,3,6,2,2,2,,,,,,,,,
0,1,1,3,2,2,1,1,,,,,,,,,
1,0,1,1,1,1,1,1,,,,,,,,,
8,0,1,2,1,2,1,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
2,1,2,3,1,1,2,2,,,,,,,,,
5,1,1,3,2,1,2,1,,,,,,,,,
2,0,1,1,1,2,1,1,,,,,,,,,
2,0,2,2,1,2,1,1,,,,,,,,,
7,1,1,2,1,1,2,2,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
0,0,1,1,4,1,1,1,,,,,,,,,
7,1,1,1,1,1,2,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,2,2,1,2,1,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
2,1,2,2,1,2,1,1,,,,,,,,,
1,0,1,3,2,2,1,1,,,,,,,,,
3,1,1,3,2,1,1,1,,,,,,,,,
0,1,1,1,2,2,1,1,,,,,,,,,
2,1,1,1,1,1,1,1,,,,,,,,,
4,0,1,1,2,2,2,1,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
0,1,1,2,4,2,1,1,,,,,,,,,
3,0,1,1,2,1,1,1,,,,,,,,,
0,1,1,3,2,1,2,1,,,,,,,,,
10,1,2,2,1,1,2,2,,,,,,,,,
1,0,2,1,2,1,2,1,,,,,,,,,
6,1,1,1,4,1,2,2,,,,,,,,,
5,1,1,1,2,2,2,2,,,,,,,,,
1,0,2,1,1,2,1,1,,,,,,,,,
3,1,1,1,2,2,1,1,,,,,,,,,
1,0,1,2,1,1,1,1,,,,,,,,,
2,0,2,1,2,2,2,1,,,,,,,,,
4,0,2,2,1,1,1,1,,,,,,,,,
0,0,2,3,1,1,1,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
2,1,2,1,1,1,2,1,,,,,,,,,
1,1,1,3,2,1,2,1,,,,,,,,,
3,1,1,1,2,1,2,1,,,,,,,,,
2,1,1,1,2,2,1,1,,,,,,,,,
0,0,1,1,1,2,1,1,,,,,,,,,
4,1,1,1,1,1,1,1,,,,,,,,,
8,0,1,1,2,1,1,2,,,,,,,,,
0,0,1,3,1,1,1,2,,,,,,,,,
0,0,2,2,2,1,1,1,,,,,,,,,
7,1,1,1,2,1,2,2,,,,,,,,,
0,1,1,1,2,2,1,1,,,,,,,,,
0,0,2,1,1,1,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
0,0,1,3,2,2,1,1,,,,,,,,,
0,0,2,1,1,2,1,1,,,,,,,,,
11,0,1,1,1,1,1,2,,,,,,,,,
13,1,1,1,2,2,2,2,,,,,,,,,
1,0,1,1,2,1,2,1,,,,,,,,,
1,0,2,3,1,2,1,2,,,,,,,,,
0,0,1,1,3,1,1,1,,,,,,,,,
2,0,1,1,2,2,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
0,0,1,2,1,2,1,1,,,,,,,,,
1,0,1,3,1,1,1,2,,,,,,,,,
12,1,1,1,2,1,2,2,,,,,,,,,
1,0,1,2,1,2,1,1,,,,,,,,,
2,0,1,2,2,1,1,1,,,,,,,,,
1,0,2,3,1,2,2,2,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
0,0,2,1,1,2,2,1,,,,,,,,,
7,0,1,1,4,1,2,2,,,,,,,,,
1,0,1,1,2,1,1,1,,,,,,,,,
1,1,1,2,2,1,2,1,,,,,,,,,
3,0,1,1,2,1,2,1,,,,,,,,,
3,1,1,1,2,2,2,1,,,,,,,,,
0,0,1,1,4,2,1,1,,,,,,,,,
1,1,1,1,2,2,2,1,,,,,,,,,
3,0,2,1,1,1,2,1,,,,,,,,,
0,0,2,3,1,2,2,2,,,,,,,,,
0,0,1,1,6,2,1,1,,,,,,,,,
0,1,1,3,2,1,2,1,,,,,,,,,
3,0,1,1,1,1,1,1,,,,,,,,,
1,0,2,2,1,1,1,1,,,,,,,,,
1,1,1,3,1,2,2,2,,,,,,,,,
0,0,1,3,2,2,2,1,,,,,,,,,
10,1,1,1,2,1,2,2,,,,,,,,,
0,1,1,1,1,1,1,1,,,,,,,,,
0,1,2,3,2,1,1,1,,,,,,,,,
0,0,2,3,2,2,2,1,,,,,,,,,
1,1,1,1,4,2,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,
0,0,1,3,2,1,1,1,,,,,,,,,
1,1,1,1,4,1,1,1,,,,,,,,,
6,1,1,1,1,2,1,2,,,,,,,,,
0,1,2,2,2,1,2,1,,,,,,,,,
0,0,1,1,1,1,1,1,,,,,,,,,
0,0,1,1,2,2,2,1,,,,,,,,,
6,1,1,1,2,2,2,2,,,,,,,,,
4,0,1,1,2,1,2,1,,,,,,,,,
1,1,1,1,1,1,2,1,,,,,,,,,
4,1,1,1,2,1,1,1,,,,,,,,,
0,0,1,1,2,2,1,1,,,,,,,,,
9,1,1,1,1,1,2,2,,,,,,,,,
2,1,1,1,2,1,1,1,,,,,,,,,
4,1,1,1,2,2,1,1,,,,,,,,,
0,1,1,1,2,1,1,1,,,,,,,,,
3,0,2,1,2,1,1,1,,,,,,,,,
0,0,1,1,2,1,2,1,,,,,,,,,
2,0,1,2,1,2,1,1,,,,,,,,,
0,0,2,3,2,2,2,1,,,,,,,,,
0,1,2,3,2,2,2,1,,,,,,,,,
0,1,1,1,1,1,2,1,,,,,,,,,
0,0,1,1,1,1,2,1,,,,,,,,,
2,1,1,2,1,1,1,1,,,,,,,,,
5,0,1,1,2,1,2,2,,,,,,,,,
0,0,1,1,4,2,1,1,,,,,,,,,
3,0,1,1,1,1,1,1,,,,,,,,,
5,0,1,1,2,2,2,2,,,,,,,,,
