"chek_acc","month_duration","credit_history","purpose","Credit_amo","saving_amo","present_employmment","instalrate","p_status","guatan","present_resident","property","age","installment","Housing","existing_cards","job","no_people","telephn","foreign_worker","target"
"2","4","1","10","4","2","3","3","2","1","3","3","2","3","1","2","2","1","1","1","1"
"3","2","3","5","2","1","3","3","3","2","1","1","2","2","2","1","3","1","1","1","1"
"4","1","5","5","1","5","5","3","2","1","2","2","2","1","2","1","2","2","1","1","1"
"4","4","4","5","4","1","3","3","2","1","3","1","2","3","2","2","3","1","1","1","2"
"3","2","5","5","1","5","3","2","3","1","3","4","2","3","3","2","3","1","2","1","1"
"1","3","3","4","3","1","5","3","3","1","1","2","2","3","1","1","4","1","2","1","1"
"1","2","3","1","4","2","3","2","3","1","3","3","2","3","2","1","2","2","2","1","2"
"4","4","1","7","3","1","3","3","3","1","1","3","2","3","2","2","3","1","1","1","2"
"2","4","3","8","3","5","3","1","4","1","1","3","2","3","2","1","3","1","1","1","2"
"4","2","3","5","3","1","5","3","2","1","1","3","2","1","1","1","4","1","2","1","2"
"1","2","3","6","1","1","3","3","4","1","2","1","2","3","2","1","2","1","2","1","1"
"4","2","5","5","2","1","5","3","3","1","3","3","2","3","2","2","3","1","2","1","2"
"4","1","3","5","2","2","3","3","2","2","1","1","2","3","2","1","3","1","1","1","2"
"1","1","5","5","1","5","5","3","3","1","3","1","2","3","2","2","3","1","2","1","2"
"4","4","3","1","4","1","5","1","3","1","3","2","2","3","2","1","4","1","2","1","2"
"1","3","3","2","3","1","4","1","3","1","1","4","2","3","3","1","4","1","2","1","2"
"1","2","5","4","2","1","3","3","2","1","3","1","1","3","1","2","3","1","1","1","1"
"4","3","5","1","2","4","5","3","3","1","3","1","2","3","2","1","3","1","2","1","2"
"1","2","5","4","2","1","3","3","2","1","2","2","1","3","1","2","3","1","1","1","2"
"4","4","5","10","4","5","5","3","1","1","1","3","2","1","2","2","4","2","1","1","2"
"2","3","3","4","4","5","4","1","3","1","2","3","2","3","2","1","3","1","2","1","2"
"2","1","3","4","2","1","3","3","1","1","1","3","2","3","2","1","2","1","1","1","2"
"1","1","3","4","2","1","2","3","2","1","1","3","1","3","1","1","3","1","1","1","2"
"1","3","4","1","1","1","1","3","3","1","1","1","2","3","3","2","3","2","1","1","1"
"1","2","1","1","1","1","5","3","3","1","2","3","2","3","1","2","3","2","1","1","1"
"4","4","3","8","2","1","3","3","3","1","3","4","2","2","3","1","3","1","2","1","1"
"3","4","4","10","2","1","5","3","3","1","3","1","2","3","2","1","4","1","2","1","1"
"4","1","3","10","2","1","4","2","2","1","1","3","2","3","2","2","3","1","1","1","2"
"4","1","5","4","2","5","3","1","4","1","1","3","2","3","2","2","3","1","1","2","2"
"1","1","5","1","1","1","2","1","3","1","3","1","2","3","2","1","2","2","1","2","2"
"1","2","3","5","2","5","4","1","4","1","3","3","1","3","1","2","2","1","1","1","2"
"1","4","3","2","4","1","3","1","3","1","1","2","2","3","2","1","3","2","1","1","1"
"2","2","4","10","3","5","5","3","3","1","1","2","2","3","2","2","3","1","1","1","2"
"1","1","5","1","3","1","3","2","2","2","1","1","2","3","2","2","3","1","1","1","1"
"1","4","3","4","3","1","5","3","3","1","1","3","2","3","2","1","3","2","1","1","1"
"3","1","5","1","1","1","5","1","3","1","3","1","2","3","2","2","3","2","1","2","2"
"1","2","3","5","3","1","3","3","3","1","3","4","2","3","3","2","3","1","1","1","1"
"2","3","3","5","3","2","2","1","3","1","1","3","2","3","2","1","3","1","1","1","2"
"1","1","3","2","3","1","5","2","3","1","3","4","2","3","3","1","3","1","2","1","1"
"2","2","3","7","3","2","3","2","2","1","1","1","1","3","2","1","2","1","1","1","2"
"4","2","3","4","2","5","4","1","2","1","3","1","2","1","1","1","2","1","1","1","2"
"2","1","3","5","1","1","4","3","3","3","2","1","2","3","2","2","3","1","1","2","2"
"1","2","3","4","3","1","1","3","3","1","1","3","1","3","2","1","1","1","1","1","1"
"4","1","3","1","2","3","3","2","3","1","1","4","2","3","1","1","2","2","1","2","2"
"1","4","3","4","4","1","4","1","3","3","3","2","2","3","3","1","3","2","1","1","2"
"2","3","4","4","3","5","2","3","3","1","1","2","2","1","2","1","2","1","1","1","2"
"4","1","3","5","1","1","3","2","2","1","1","1","2","3","2","1","3","1","1","1","2"
"4","2","3","10","2","2","3","2","2","1","3","2","1","3","1","1","2","1","1","1","2"
"4","2","4","5","2","1","3","3","4","1","2","1","2","1","2","2","3","1","1","1","2"
"4","4","5","2","4","4","5","3","3","1","1","3","2","3","2","2","4","1","2","1","2"
"4","1","5","10","1","5","5","3","3","1","3","4","2","3","1","1","2","1","1","1","2"
"2","2","5","10","3","1","1","2","4","1","2","3","2","3","2","3","1","2","2","1","2"
"2","2","3","5","1","1","3","3","2","3","3","1","2","3","2","1","2","2","1","1","2"
"4","3","3","1","3","3","4","1","2","1","1","3","2","1","2","1","4","1","1","1","2"
"2","1","3","1","1","4","5","3","3","1","3","1","2","3","2","1","3","1","2","1","2"
"4","1","5","1","2","1","4","1","3","1","1","1","2","3","2","3","2","2","1","1","2"
"3","1","5","1","1","2","5","1","1","1","3","3","2","3","2","2","3","2","2","1","2"
"1","1","3","1","1","1","3","3","2","1","1","1","1","3","2","1","2","1","1","1","1"
"1","1","3","5","1","1","4","2","3","1","3","1","2","3","2","1","3","1","1","1","2"
"1","1","3","8","1","1","3","3","3","1","3","3","2","3","1","1","2","2","1","1","1"
"4","4","5","2","4","5","3","3","3","1","1","3","2","3","2","1","4","1","2","1","2"
"3","1","5","1","1","1","5","3","3","1","3","4","2","3","3","2","3","1","2","1","2"
"4","3","2","10","2","1","4","3","3","1","3","3","2","1","2","1","3","1","2","1","2"
"2","1","3","4","3","5","5","1","2","1","1","2","1","1","2","1","3","1","2","1","1"
"2","2","5","5","2","5","5","3","3","3","3","1","2","3","2","2","3","1","2","1","2"
"2","1","3","1","1","1","2","2","2","1","1","3","1","3","1","1","3","1","1","1","1"
"4","4","3","2","3","3","3","3","3","1","3","3","1","3","2","1","3","1","1","1","2"
"4","2","3","2","3","1","4","1","3","1","1","3","2","3","2","1","3","1","1","1","2"
"4","1","5","8","2","5","4","3","2","1","1","3","2","3","2","1","3","1","1","1","2"
"4","3","5","5","3","1","3","3","3","1","1","1","2","3","2","2","2","1","1","1","2"
"4","3","3","4","3","1","4","1","2","1","3","2","1","3","1","1","3","1","2","1","2"
"1","3","3","1","2","5","3","3","2","1","1","2","2","3","2","1","3","1","1","1","1"
"4","1","5","4","2","1","2","1","2","1","2","1","1","3","1","2","3","1","1","1","2"
"4","4","5","2","3","5","5","3","3","1","2","3","2","3","2","2","3","2","2","1","2"
"4","4","5","2","4","1","4","2","3","1","1","3","2","3","2","2","4","1","2","1","2"
"4","3","3","2","4","1","4","2","3","1","2","3","2","3","2","1","4","1","2","1","2"
"1","1","3","4","2","1","3","1","3","1","1","1","2","1","2","1","2","1","2","1","2"
"4","1","3","5","2","5","3","3","3","1","3","4","2","3","3","1","3","1","2","1","2"
"1","4","2","4","3","1","5","3","3","1","3","3","2","1","2","1","3","1","1","1","1"
"2","2","5","5","2","1","5","2","2","3","3","1","2","1","1","2","2","1","2","1","2"
"4","1","4","2","2","1","3","3","4","1","3","1","2","3","1","1","3","1","1","1","2"
